threads,hash bits,mean[ms],run1[ms],run2[ms],run3[ms],run4[ms],run5[ms],run6[ms],run7[ms],run8[ms],run9[ms],run10[ms]
2,1,369,380,381,378,381,368,372,310,381,375,373
2,2,429,427,429,431,424,433,433,428,423,430,435
2,3,268,269,270,269,268,268,268,268,270,267,269
2,4,430,429,428,435,430,426,432,438,430,424,429
2,5,344,352,351,348,354,349,349,353,347,353,290
2,6,294,296,295,292,296,295,294,297,295,292,294
2,7,274,275,275,274,274,274,273,275,273,280,273
2,8,268,272,267,268,265,273,275,268,266,264,265
2,9,262,266,261,262,265,260,260,262,262,260,262
2,10,262,261,261,261,261,280,261,261,261,261,260
2,11,287,288,290,286,289,287,291,286,287,286,286
2,12,325,328,326,319,327,321,334,326,323,321,330
2,13,367,366,371,363,378,366,379,370,369,348,361
2,14,454,437,415,445,472,473,462,475,416,474,477
2,15,536,513,584,551,531,503,540,538,555,524,526
2,16,597,610,590,591,594,588,616,593,599,595,603
2,17,568,576,569,571,574,576,570,563,568,556,561
2,18,589,579,602,592,595,590,591,598,578,583,583
