threads,hash bits,mean[ms],run1[ms],run2[ms],run3[ms],run4[ms],run5[ms],run6[ms],run7[ms],run8[ms],run9[ms],run10[ms]
1,1,457,458,459,460,457,457,456,458,459,456,456
1,2,457,460,459,456,458,457,457,458,459,458,456
1,3,458,459,459,457,459,459,458,457,459,459,459
1,4,457,456,459,459,458,458,456,456,458,456,456
1,5,458,458,459,459,458,457,458,459,458,458,459
1,6,473,475,474,471,474,473,474,475,473,471,475
1,7,477,476,476,477,477,476,475,477,478,478,480
1,8,480,477,477,477,479,479,504,479,479,479,477
1,9,478,475,479,477,481,477,480,478,479,479,484
1,10,479,479,478,479,482,480,479,480,481,479,479
1,11,507,508,507,504,511,507,507,508,506,506,510
1,12,564,568,556,565,560,561,574,572,561,559,568
1,13,621,641,621,629,610,615,604,622,635,627,611
1,14,693,742,714,680,725,689,657,701,668,702,660
1,15,779,768,801,766,794,773,778,757,800,808,751
1,16,881,886,885,878,870,884,885,876,890,880,880
1,17,890,880,892,855,859,862,1094,849,884,863,871
1,18,902,901,902,908,905,898,904,901,901,903,902
