threads,hash bits,mean[ms],run1[ms],run2[ms],run3[ms],run4[ms],run5[ms],run6[ms],run7[ms],run8[ms],run9[ms],run10[ms]
4,1,269,272,271,274,269,263,273,268,269,269,271
4,2,348,344,350,354,360,343,346,351,351,346,339
4,3,372,378,381,375,384,384,382,371,361,349,359
4,4,335,332,333,336,339,332,336,339,342,331,334
4,5,259,221,265,265,257,256,282,260,263,263,262
4,6,211,212,204,206,207,228,210,223,210,206,209
4,7,174,167,177,178,172,175,172,174,171,174,181
4,8,187,197,188,194,196,187,185,181,187,171,193
4,9,154,157,161,158,155,152,156,152,148,150,157
4,10,146,142,148,152,148,141,146,146,142,148,148
4,11,152,151,152,150,150,155,151,152,155,152,152
4,12,170,171,171,173,171,168,169,170,170,168,169
4,13,192,191,198,192,192,190,191,188,201,189,193
4,14,239,234,232,239,229,239,231,237,251,239,263
4,15,270,258,273,282,267,290,277,253,291,253,261
4,16,297,299,300,285,297,297,292,302,301,300,299
4,17,305,309,307,306,310,305,308,302,308,304,300
4,18,305,308,304,311,311,303,310,301,303,306,302
