threads,hash bits,mean[ms],run1[ms],run2[ms],run3[ms],run4[ms],run5[ms],run6[ms],run7[ms],run8[ms],run9[ms],run10[ms]
8,1,183,185,182,186,184,185,176,184,182,184,191
8,2,226,224,225,225,226,227,228,225,228,232,226
8,3,220,224,226,220,218,224,212,221,219,221,218
8,4,195,199,195,194,200,191,194,194,193,200,196
8,5,184,183,178,185,194,178,190,187,183,189,180
8,6,132,128,130,132,129,135,140,133,135,129,129
8,7,107,99,116,117,100,106,118,96,106,115,106
8,8,104,106,99,106,107,107,101,107,104,102,109
8,9,91,91,95,92,90,91,92,93,93,93,89
8,10,84,83,84,84,84,87,84,84,86,83,84
8,11,90,94,91,90,90,92,89,89,88,89,91
8,12,105,103,103,104,105,108,111,108,102,101,108
8,13,147,147,151,146,153,151,146,143,146,145,150
8,14,168,164,173,171,165,166,167,170,168,169,167
8,15,183,185,190,185,185,178,186,186,185,182,177
8,16,199,196,199,194,194,194,194,240,191,198,195
8,17,182,181,185,179,179,180,179,174,179,181,203
8,18,200,202,198,196,198,196,198,199,197,200,219
