threads,hash bits,mean[ms],run1[ms],run2[ms],run3[ms],run4[ms],run5[ms],run6[ms],run7[ms],run8[ms],run9[ms],run10[ms]
32,1,1207,1194,1192,1219,1193,1215,1217,1208,1206,1197,1233
32,2,738,738,719,731,737,732,760,733,760,732,739
32,3,694,700,698,689,699,688,686,702,698,683,704
32,4,808,803,802,797,810,810,810,792,827,803,829
32,5,547,542,561,543,553,551,543,544,544,542,555
32,6,444,443,442,444,446,442,449,444,446,446,441
32,7,403,404,404,402,402,413,400,401,406,404,401
32,8,287,287,294,286,286,291,286,288,285,286,287
32,9,225,245,224,223,223,223,222,223,222,222,226
32,10,197,196,196,196,196,196,196,195,196,207,196
32,11,174,174,174,174,174,175,174,174,174,174,173
32,12,141,141,141,141,141,141,141,148,141,141,141
32,13,131,131,130,131,130,131,137,131,131,130,130
32,14,127,127,127,127,127,127,129,129,128,128,128
32,15,129,129,129,129,129,128,129,137,128,128,129
32,16,135,136,135,135,135,135,135,135,135,135,135
32,17,144,145,145,145,145,145,144,145,146,145,144
32,18,158,159,158,158,161,158,159,159,158,158,158
