threads,hash bits,mean[ms],run1[ms],run2[ms],run3[ms],run4[ms],run5[ms],run6[ms],run7[ms],run8[ms],run9[ms],run10[ms]
16,1,1998,1981,1999,1982,1987,2019,1999,1985,2042,1987,2008
16,2,1237,1267,1210,1232,1240,1196,1230,1263,1231,1265,1236
16,3,1216,1209,1212,1224,1212,1202,1225,1215,1227,1216,1223
16,4,1371,1380,1379,1367,1434,1342,1384,1357,1368,1339,1363
16,5,801,806,804,773,800,811,797,805,808,802,813
16,6,630,614,622,616,625,616,629,717,617,615,630
16,7,627,621,630,644,632,628,614,629,634,617,625
16,8,373,370,369,374,380,372,369,369,379,377,375
16,9,296,316,302,303,303,302,215,302,302,302,317
16,10,285,292,284,284,284,284,289,284,284,284,285
16,11,270,269,268,268,271,272,269,273,273,269,269
16,12,240,240,240,239,242,239,240,243,240,241,240
16,13,227,226,226,231,226,227,226,230,227,226,230
16,14,224,223,226,224,228,223,222,227,223,222,222
16,15,224,223,223,223,230,223,228,227,223,222,224
16,16,233,229,229,238,229,234,241,229,229,229,243
16,17,245,243,243,243,243,243,245,259,245,247,243
16,18,265,265,267,264,265,264,264,264,277,264,264
