threads,hash bits,mean[ms],run1[ms],run2[ms],run3[ms],run4[ms],run5[ms],run6[ms],run7[ms],run8[ms],run9[ms],run10[ms]
1,1,337,330,329,331,329,330,331,405,331,330,333
1,2,330,330,331,331,331,328,331,328,333,328,330
1,3,331,333,331,331,332,331,329,334,330,331,330
1,4,331,330,331,332,331,332,334,331,331,332,329
1,5,340,342,343,341,342,339,339,339,341,340,339
1,6,735,815,725,725,730,724,727,727,730,726,728
1,7,759,760,764,757,758,758,757,756,759,765,758
1,8,771,768,770,769,767,767,772,767,769,773,789
1,9,777,774,782,774,774,775,780,782,772,775,783
1,10,793,791,790,801,793,794,793,794,792,798,793
1,11,885,881,880,885,884,891,882,892,881,885,893
1,12,993,990,995,1002,985,1000,993,983,992,1000,992
1,13,1208,1208,1204,1219,1195,1224,1206,1201,1210,1196,1220
1,14,1335,1356,1344,1329,1332,1333,1337,1339,1326,1340,1321
1,15,1449,1469,1473,1444,1475,1471,1421,1442,1426,1430,1441
1,16,1669,1702,1662,1655,1662,1675,1659,1678,1668,1673,1656
1,17,2163,2160,2171,2147,2198,2149,2163,2152,2168,2171,2153
1,18,2816,2808,2814,2808,2817,2813,2802,2873,2808,2811,2809
