threads,hash bits,mean[ms],run1[ms],run2[ms],run3[ms],run4[ms],run5[ms],run6[ms],run7[ms],run8[ms],run9[ms],run10[ms]
8,1,2158,2136,2231,2168,2135,2166,2121,2109,2188,2169,2163
8,2,1371,1371,1345,1339,1438,1407,1367,1368,1436,1288,1356
8,3,1390,1436,1395,1399,1409,1425,1376,1352,1403,1325,1389
8,4,1496,1465,1531,1520,1543,1486,1508,1485,1509,1446,1473
8,5,889,898,885,889,891,891,887,894,891,893,880
8,6,738,742,738,745,739,745,735,743,722,739,741
8,7,682,683,679,676,670,674,702,691,696,664,685
8,8,556,554,554,553,552,555,579,557,554,554,553
8,9,525,526,523,524,526,528,525,525,525,526,525
8,10,504,502,504,505,507,506,504,502,505,504,505
8,11,470,472,470,469,470,471,472,470,471,470,470
8,12,418,421,419,420,417,418,418,418,419,417,419
8,13,414,417,414,413,414,413,416,416,416,413,414
8,14,416,417,415,416,415,417,417,415,417,417,418
8,15,422,421,424,422,423,423,423,424,423,420,418
8,16,433,430,433,432,432,436,435,436,431,433,436
8,17,461,465,460,464,460,461,459,461,459,463,459
8,18,514,511,517,515,516,516,514,513,509,514,516
